spectatorid	matchid	timestamp
166	5	12:53
116	18	16:06
136	11	16:21
83	18	16:17
55	13	13:15
127	9	16:40
20	10	14:46
101	1	14:55
18	16	15:23
20	14	13:15
149	19	15:28
2	10	15:59
95	18	16:17
25	15	15:13
111	11	16:17
25	11	16:27
76	14	13:26
62	4	12:48
30	11	16:31
153	4	13:53
54	4	12:59
138	12	13:34
115	19	15:15
157	1	14:41
69	15	14:28
38	13	13:00
81	7	13:30
179	13	12:59
86	16	15:00
106	9	16:27
164	10	14:58
94	10	15:08
30	19	15:21
87	18	16:38
121	15	15:16
149	6	16:21
187	16	16:13
110	15	15:19
22	14	13:37
120	16	15:35
166	9	16:58
88	11	16:39
144	5	12:52
169	5	12:50
36	4	12:52
104	7	12:57
89	3	15:41
145	11	16:07
17	1	14:28
144	16	15:23
168	6	16:36
21	1	14:14
31	4	12:45
77	7	12:54
69	13	12:45
46	5	12:48
121	2	15:12
88	8	15:06
75	10	15:26
153	16	15:19
178	4	13:43
24	10	15:49
92	5	12:49
81	9	16:31
137	15	14:47
138	5	13:22
134	10	14:52
169	18	17:16
162	1	14:32
151	11	16:35
90	9	16:19
179	18	16:22
115	18	16:18
183	8	16:02
179	16	15:49
7	5	13:21
182	15	14:48
41	5	13:16
68	4	13:36
119	11	16:39
27	8	15:54
118	16	15:07
124	15	14:48
76	12	13:30
173	11	16:56
171	12	13:49
63	11	16:32
141	18	16:39
126	14	12:53
55	9	16:26
143	19	14:36
72	3	15:00
185	6	16:17
120	18	16:39
167	13	13:12
31	13	12:56
61	9	16:48
29	17	13:20
76	13	12:43
15	19	14:54
100	5	12:52
59	16	15:46
56	7	13:05
127	12	13:32
66	13	13:27
3	18	16:19
150	16	15:07
50	16	15:03
69	3	16:02
16	14	12:41
152	12	13:15
133	12	13:48
177	16	15:42
183	6	16:24
29	15	14:16
56	17	14:19
74	7	13:15
148	2	15:06
37	19	14:51
112	12	13:18
51	3	15:14
159	2	15:21
113	13	12:45
159	1	14:54
117	6	16:18
165	5	13:04
9	2	15:11
175	19	15:19
146	7	12:58
72	8	15:24
83	12	14:06
102	1	14:24
80	17	13:04
57	6	16:42
136	8	15:10
122	17	13:18
53	9	16:50
38	10	14:57
44	6	16:24
150	4	12:45
188	4	12:57
96	1	14:30
96	14	12:53
125	2	15:19
164	5	12:42
139	16	15:25
147	19	14:54
93	13	13:22
52	6	16:15
3	12	13:46
97	13	13:20
128	14	13:28
104	4	12:56
117	5	12:41
4	12	13:26
187	10	15:09
115	12	14:05
166	16	15:47
189	12	13:00
97	8	15:06
4	17	13:32
14	9	16:39
59	19	15:06
51	4	12:51
70	16	15:58
37	11	16:36
159	8	15:56
25	5	12:46
67	13	13:34
94	18	16:58
93	16	15:02
171	10	15:04
178	6	16:52
70	11	16:05
111	3	15:30
54	19	15:16
140	15	14:21
156	19	15:13
180	18	16:22
137	1	14:41
16	8	15:33
109	17	13:36
96	4	12:41
49	12	13:15
95	12	13:12
81	13	13:07
18	3	15:12
86	4	12:33
43	11	16:19
170	19	14:44
91	4	13:22
139	9	16:53
95	16	15:07
119	10	15:10
64	2	15:29
154	5	13:10
137	10	15:18
92	6	17:12
15	18	16:51
63	1	14:52
159	11	16:16
106	5	12:59
99	16	15:18
177	2	14:35
140	2	15:10
7	1	14:43
122	15	14:27
49	4	12:51
175	15	14:43
75	3	15:45
104	10	15:08
141	16	15:29
151	8	15:20
90	17	14:21
146	16	15:07
109	8	15:07
34	19	14:34
46	10	15:04
16	2	14:55
190	13	13:58
159	17	13:15
124	18	16:42
167	7	12:30
187	19	15:04
9	6	16:54
118	3	15:49
120	8	15:44
7	9	17:11
190	2	14:37
143	8	15:36
88	15	14:44
56	3	15:19
175	9	16:14
104	12	13:39
2	18	16:11
131	17	13:15
179	1	14:19
44	12	13:43
189	4	13:21
185	9	16:00
163	12	13:05
114	13	13:58
176	11	16:03
137	2	14:45
38	17	13:34
20	1	14:10
108	17	13:37
114	9	16:18
18	8	15:22
47	12	14:00
184	3	16:25
174	4	13:16
163	15	14:06
115	3	15:54
19	15	14:05
47	2	14:31
128	4	12:47
55	12	14:03
189	1	14:22
62	14	12:37
91	7	13:12
50	1	14:45
152	13	13:51
88	3	15:30
183	17	13:06
33	9	16:46
113	18	16:36
101	13	12:33
185	15	14:19
60	10	15:23
126	3	15:46
140	5	13:13
94	9	16:28
63	8	15:41
34	1	14:51
38	18	16:39
58	10	15:05
174	13	12:43
108	8	15:22
176	10	14:57
81	6	16:45
97	19	15:20
174	5	12:57
125	13	12:30
129	4	12:35
107	5	12:45
59	8	15:14
145	12	13:21
21	15	14:57
135	16	15:06
97	5	12:58
180	14	12:56
168	10	14:38
54	16	15:25
108	12	13:16
133	18	16:49
121	1	15:28
49	15	14:36
39	10	15:11
176	8	15:08
172	8	15:51
139	11	16:21
175	16	15:18
50	14	12:54
155	19	15:20
12	19	15:05
186	9	16:10
34	4	13:26
178	11	16:14
117	14	13:19
133	11	16:04
132	18	16:19
31	10	15:16
55	6	16:47
40	7	12:37
106	13	12:57
111	19	15:23
120	14	12:52
48	19	14:38
19	12	13:03
41	18	16:51
64	1	14:05
137	13	12:40
42	18	16:36
159	12	13:35
178	8	15:46
12	16	15:11
7	10	14:44
128	6	16:10
29	19	15:10
95	2	14:36
6	15	14:41
8	2	15:54
66	3	15:05
144	2	15:07
104	8	15:12
87	4	12:40
58	7	13:10
167	16	15:13
70	1	14:57
151	6	16:59
146	11	16:50
79	14	12:50
102	12	13:55
93	11	16:31
185	1	14:26
169	12	13:06
37	8	15:14
137	16	15:03
90	14	12:45
35	19	15:01
122	4	12:51
168	2	14:36
48	12	13:41
10	5	12:45
129	16	15:11
44	16	15:28
117	2	15:24
105	12	13:00
16	10	15:13
17	13	13:04
57	15	14:22
103	3	15:20
79	15	14:29
189	16	15:26
113	15	14:42
68	5	12:55
156	10	14:36
20	17	13:13
95	5	13:18
32	2	15:14
184	12	14:09
31	16	15:18
87	13	12:49
71	1	14:42
154	18	16:06
150	18	17:18
120	19	14:39
47	9	16:23
44	9	16:08
101	3	15:31
133	16	15:43
44	8	15:34
188	7	12:56
79	10	15:33
179	2	14:49
74	9	16:01
106	14	13:21
186	6	16:20
16	15	15:25
19	19	14:36
130	13	12:31
65	9	16:08
97	7	13:07
11	16	15:57
167	3	15:18
99	4	12:54
28	2	14:37
126	16	15:39
144	6	16:29
167	9	16:34
110	1	14:58
72	9	16:30
155	8	15:06
185	16	15:02
143	6	16:30
39	2	14:37
16	17	13:09
124	10	15:14
109	16	15:06
160	5	13:55
31	19	15:03
28	10	14:57
163	13	12:40
151	14	13:21
94	8	15:32
123	18	16:54
51	9	16:36
34	17	13:40
183	10	15:33
154	10	15:27
112	10	14:59
66	11	16:11
109	6	16:54
57	14	13:01
49	10	14:33
174	2	15:27
99	19	15:12
131	4	13:36
27	12	13:24
110	7	12:55
107	3	15:07
23	19	15:25
29	8	15:11
73	4	13:44
82	3	15:45
160	14	12:44
51	14	12:57
68	17	14:02
120	2	14:50
56	1	14:56
108	2	15:14
188	15	14:59
186	10	15:16
16	3	15:13
12	5	13:21
124	2	15:18
100	19	14:37
29	11	16:05
30	9	16:14
136	2	14:45
153	12	13:48
45	1	14:45
61	7	13:27
81	17	13:06
94	16	15:33
156	4	13:28
99	15	14:28
102	8	15:33
113	7	13:28
2	3	15:27
53	11	16:48
73	11	16:32
187	1	14:17
45	3	15:01
41	9	16:04
167	4	13:51
26	10	15:02
152	18	17:19
67	18	16:44
106	15	14:44
26	2	14:31
5	2	15:52
18	1	14:29
43	15	14:19
18	18	16:52
27	19	15:49
5	19	14:42
168	12	13:57
19	2	14:39
125	4	13:23
64	14	13:59
42	13	12:31
178	7	13:27
95	7	12:52
101	15	14:20
168	8	15:42
53	14	13:27
66	7	13:04
59	15	14:07
122	10	15:17
177	4	12:48
188	9	16:41
78	7	13:02
117	9	16:54
147	10	14:35
102	18	16:13
56	13	12:33
35	8	15:59
128	1	14:51
132	10	14:41
122	18	16:10
94	3	15:00
156	13	12:59
110	10	14:40
109	4	13:05
149	12	13:48
154	7	13:18
143	3	16:10
9	5	12:43
172	13	12:53
67	3	15:43
65	3	15:23
185	8	15:45
29	5	12:34
69	12	13:35
186	2	14:57
44	1	14:58
34	9	16:05
67	7	12:45
2	9	16:42
53	1	14:16
6	6	16:48
27	9	16:16
30	3	15:33
135	8	15:58
134	5	13:54
90	8	15:32
71	10	15:08
30	4	12:48
40	18	16:21
41	17	14:08
176	5	12:50
43	12	13:27
43	7	13:27
142	8	15:42
1	13	13:13
107	7	13:28
92	9	16:44
134	2	15:20
104	9	16:51
168	15	14:11
63	14	12:48
77	10	14:58
42	2	15:32
127	3	15:33
110	5	13:31
140	12	13:44
11	18	16:14
93	4	13:25
11	7	12:52
185	2	15:22
73	19	15:05
50	18	16:56
72	15	14:23
92	2	15:20
136	15	14:35
74	11	16:53
170	18	16:46
74	3	16:05
177	10	14:59
39	3	15:59
35	15	14:53
13	13	13:16
58	5	12:47
126	4	12:51
75	18	16:45
97	2	14:49
146	17	13:35
109	2	14:49
184	4	12:41
1	16	15:45
148	12	13:26
85	15	14:56
140	11	17:26
124	19	14:32
25	16	15:14
65	13	13:31
101	19	15:09
85	2	15:03
158	7	12:50
26	14	13:13
165	11	16:36
149	7	12:49
143	1	14:07
118	5	13:21
42	10	15:20
159	7	12:42
174	18	17:14
134	8	15:41
80	14	12:30
177	9	16:28
184	6	16:04
46	8	15:24
106	3	15:28
36	11	16:13
164	8	15:19
84	11	16:17
24	7	13:29
55	4	13:19
107	14	13:03
125	18	16:36
146	9	16:32
41	12	13:43
118	10	14:31
23	8	15:47
119	12	13:45
137	14	13:15
123	7	13:55
188	8	15:15
174	9	16:48
56	16	15:37
174	1	14:54
132	8	15:23
123	10	14:32
147	9	16:50
18	10	14:52
57	12	13:39
45	19	14:56
12	14	13:26
5	5	12:32
60	9	16:27
32	4	13:18
42	1	14:59
73	13	12:55
53	17	13:56
89	14	13:10
157	10	15:14
6	12	13:20
70	3	15:49
164	13	12:48
166	13	13:25
57	7	12:39
58	9	16:09
28	18	16:26
21	4	13:25
11	10	15:16
140	7	13:01
163	11	16:01
94	6	17:19
107	17	13:12
116	6	16:59
135	6	16:59
188	5	13:49
35	9	16:39
119	5	13:48
114	12	13:09
145	15	15:18
64	7	13:50
68	19	15:55
166	12	13:19
116	3	15:34
84	17	13:16
90	3	15:02
68	15	14:06
8	9	16:15
132	19	14:39
102	3	15:39
114	4	13:22
30	2	14:52
36	18	16:06
35	16	15:36
182	9	16:33
56	4	13:56
30	10	15:04
79	3	15:52
71	16	15:36
39	18	16:13
164	15	14:04
190	4	13:47
32	14	12:32
144	17	13:30
186	19	15:09
144	12	13:48
7	17	13:22
167	8	15:19
137	3	15:01
25	8	16:02
190	11	16:53
4	6	16:46
63	7	12:39
21	18	16:49
127	1	15:06
171	19	15:12
174	15	15:01
69	8	15:00
67	9	16:35
123	17	13:16
47	18	16:42
170	15	14:50
117	17	14:21
49	8	15:18
91	9	16:21
134	12	13:20
65	17	13:44
181	17	13:40
30	18	16:12
60	12	13:27
84	6	16:17
159	6	16:52
69	16	15:11
159	15	14:04
114	6	16:47
118	18	16:27
181	1	14:45
11	15	14:20
15	2	15:08
152	9	16:24
156	8	15:34
81	3	15:17
135	11	16:23
72	4	12:49
183	12	13:46
74	17	13:05
158	8	15:45
35	3	15:06
161	9	16:22
81	16	15:12
50	7	13:13
97	14	12:36
109	9	16:35
71	7	13:25
123	8	15:05
19	16	15:32
107	9	16:16
8	6	16:30
73	3	15:30
101	6	17:16
10	9	16:47
171	17	13:58
105	1	14:08
80	13	13:45
167	1	14:32
26	7	12:42
55	2	15:21
116	5	13:16
61	2	15:28
156	12	13:06
54	15	14:30
140	18	16:47
122	7	12:37
53	16	15:03
115	8	15:50
68	1	15:05
38	1	14:04
177	6	16:16
44	13	13:06
136	16	15:12
126	15	14:20
94	14	12:38
44	10	14:59
84	4	12:42
178	13	13:10
17	12	14:11
72	2	14:35
34	3	16:21
51	11	16:34
149	2	14:42
128	7	13:07
137	4	13:03
37	12	13:07
4	13	13:04
13	18	16:30
16	1	15:11
152	3	15:59
186	18	16:59
181	6	16:06
85	19	14:35
156	17	13:48
45	4	12:45
116	2	14:54
111	2	15:17
175	3	15:29
115	7	13:19
84	9	16:45
30	13	12:46
189	18	17:10
100	15	14:58
94	11	16:23
14	14	13:02
94	19	15:13
157	4	13:44
125	3	15:54
124	6	16:08
124	14	12:57
82	14	13:09
133	2	14:55
190	7	13:23
170	7	13:12
29	3	15:11
47	1	14:46
103	12	13:29
115	16	15:46
151	10	15:29
133	13	13:19
50	10	14:56
81	2	14:34
146	18	16:20
8	8	15:04
165	7	13:56
3	2	14:31
86	12	13:43
167	2	15:26
189	2	14:46
146	8	16:17
127	16	15:09
172	16	15:39
61	8	15:31
137	7	13:20
104	19	14:32
124	9	16:48
32	9	16:30
16	18	16:02
104	11	17:19
116	8	15:21
2	4	12:39
55	19	14:34
99	3	15:58
10	19	15:03
142	3	15:40
158	10	14:55
99	12	13:46
21	16	15:32
43	5	13:03
99	7	13:01
133	1	15:27
103	6	16:52
187	17	13:20
46	11	16:55
108	5	12:40
83	1	14:57
162	3	15:30
139	15	14:57
182	10	15:00
36	7	13:36
96	12	13:13
24	8	15:09
105	5	13:57
129	14	13:23
124	7	13:47
21	13	13:52
55	18	16:49
119	16	15:04
12	11	16:55
2	2	15:12
18	2	14:49
16	13	13:01
59	11	16:45
3	3	15:23
17	7	13:24
130	8	15:53
176	19	15:28
137	17	13:07
91	5	12:54
150	5	12:54
165	3	15:26
94	15	14:36
58	1	14:22
137	19	15:17
5	15	14:20
100	11	16:54
39	13	13:17
97	3	15:18
49	2	15:17
182	5	12:49
165	17	13:06
22	11	16:53
153	17	13:15
18	14	13:18
17	15	14:58
63	6	16:24
125	14	12:47
66	4	13:08
22	6	16:22
139	13	13:24
164	19	14:47
126	17	13:50
170	2	15:10
169	3	15:06
162	18	16:17
187	5	12:33
20	6	16:43
98	7	12:56
169	13	12:43
146	6	16:28
172	18	16:52
118	15	14:01
154	4	13:45
6	8	15:46
159	10	15:37
14	2	14:39
41	8	15:25
19	18	16:42
61	14	13:18
75	15	14:29
170	14	12:59
161	10	15:02
88	10	15:20
120	7	13:25
66	1	14:42
29	7	13:01
114	3	16:21
3	10	15:10
38	8	15:59
81	1	14:53
129	15	14:33
27	18	16:02
154	12	13:32
85	5	13:43
58	6	16:13
49	3	15:02
56	14	12:39
55	5	13:44
10	15	14:49
60	15	14:22
131	11	16:24
150	14	13:00
178	3	15:28
151	2	15:15
82	17	13:33
7	8	15:55
183	2	15:14
38	5	12:54
151	19	14:41
11	3	15:41
102	5	13:05
78	12	13:08
100	9	16:49
94	2	15:03
145	5	12:38
182	7	12:43
3	11	16:03
184	10	15:25
174	17	13:54
150	11	16:46
159	18	16:46
62	10	15:36
179	10	15:38
148	13	13:13
152	1	14:42
167	18	16:11
113	8	15:28
133	8	15:09
29	1	15:02
10	1	14:34
86	3	15:41
133	5	12:49
144	3	15:30
136	12	13:33
87	8	15:32
53	10	15:07
168	17	13:28
46	19	15:04
99	11	16:53
22	5	13:09
160	4	12:39
185	17	13:49
153	1	14:15
123	19	15:35
171	9	16:11
185	12	13:02
167	15	14:32
136	1	14:10
188	2	14:51
127	6	16:23
134	15	14:30
172	3	15:35
190	3	15:14
141	15	14:42
171	4	13:45
11	1	14:41
121	7	13:27
129	2	15:19
161	1	14:29
175	12	13:50
62	15	14:40
84	2	15:31
68	18	17:09
175	2	15:58
87	17	13:15
44	17	13:50
96	7	13:15
7	4	13:22
104	16	15:18
105	7	12:47
9	17	13:41
87	5	12:40
172	10	15:30
2	1	14:30
159	16	15:03
113	14	13:04
84	3	15:00
29	13	12:34
18	11	16:35
133	19	15:12
172	6	16:13
138	13	13:27
141	7	12:37
108	16	15:46
155	11	16:43
180	16	15:25
144	19	15:08
146	1	14:01
61	11	16:03
14	11	16:19
108	7	13:21
40	5	12:50
45	7	13:28
147	4	13:05
138	10	15:04
83	13	13:13
190	18	16:07
118	1	14:43
102	7	13:07
99	2	14:38
80	2	14:54
63	17	13:20
116	10	14:51
121	4	12:44
166	4	12:50
186	8	15:19
159	9	16:10
89	8	15:26
162	12	13:20
22	15	14:20
167	12	14:01
146	3	15:08
159	13	13:52
37	14	13:03
58	4	13:14
37	5	13:42
58	16	15:05
176	9	16:19
175	14	12:42
113	1	15:22
175	10	15:24
65	18	16:14
62	1	14:26
20	5	12:46
3	6	16:39
76	5	12:56
82	19	15:29
111	7	13:42
8	4	13:46
172	15	14:19
13	4	12:39
97	1	14:32
172	5	13:09
184	11	16:27
4	15	14:02
3	8	15:42
12	15	14:47
94	13	13:16
146	19	14:31
53	3	16:02
10	12	13:25
44	7	13:49
147	11	16:52
53	2	14:38
100	12	13:59
37	10	14:38
117	13	13:15
185	11	16:58
58	8	15:19
63	10	15:18
84	16	15:11
10	10	14:40
2	14	13:20
124	13	13:25
157	13	12:30
140	8	15:19
69	9	16:12
86	15	14:20
8	15	14:54
32	17	13:35
162	4	13:10
91	3	15:55
17	6	16:27
118	4	13:54
17	2	15:07
65	1	14:54
150	9	16:41
70	8	15:33
18	17	13:36
169	2	14:57
4	1	14:02
96	18	16:59
40	6	16:42
99	8	16:00
61	18	16:24
5	12	13:51
120	11	16:38
32	13	13:25
3	19	15:28
164	9	16:53
62	12	13:04
123	14	12:55
114	18	16:39
84	10	15:21
85	9	16:02
190	1	14:43
171	7	13:05
69	2	14:35
83	9	16:24
24	1	14:38
21	2	14:34
29	12	13:56
69	10	14:54
57	18	16:02
10	17	13:12
24	12	13:20
18	4	13:14
14	5	12:46
148	17	13:37
184	16	15:55
162	6	16:49
109	3	16:26
107	18	16:12
133	7	13:05
38	12	13:58
59	12	13:13
169	19	14:51
24	6	16:00
42	9	16:08
58	11	16:08
158	16	15:12
147	8	16:14
41	15	14:23
29	6	16:39
33	14	13:05
47	13	13:39
3	15	14:29
185	4	12:43
75	17	13:57
27	5	13:34
68	8	15:12
186	4	12:32
94	1	15:29
57	13	13:17
15	6	16:31
185	18	17:18
54	17	13:23
186	1	15:05
122	13	12:56
28	3	15:59
30	14	13:38
176	17	13:06
80	16	15:58
39	15	14:09
15	9	16:01
79	1	15:26
142	11	16:24
147	5	12:33
68	12	13:31
26	19	14:37
56	18	16:25
85	14	12:58
71	18	16:29
171	14	13:30
73	9	16:37
131	15	15:04
169	15	14:55
101	9	16:15
70	2	15:25
148	19	15:08
75	5	13:07
22	12	13:20
79	11	16:52
127	15	14:42
177	15	14:23
83	8	15:46
30	6	16:20
166	10	15:22
33	17	14:01
38	16	15:08
46	16	15:22
189	3	15:19
144	14	13:17
151	7	13:28
93	19	15:25
113	16	15:44
10	4	12:45
112	11	16:42
107	6	16:17
157	15	14:52
75	19	15:43
52	16	16:27
170	6	16:38
50	12	13:01
44	2	14:32
112	18	16:26
134	16	15:55
94	4	13:02
178	10	15:50
53	13	12:30
64	12	13:50
33	16	15:27
48	11	16:20
65	14	13:16
89	2	14:47
45	17	14:02
70	17	13:13
2	8	15:50
31	15	14:21
46	13	13:21
154	11	16:33
118	6	16:13
56	11	16:27
164	3	15:53
186	11	16:46
86	13	13:46
1	4	12:33
125	1	14:09
182	8	15:07
170	3	15:15
139	17	13:35
134	9	16:22
148	18	17:17
25	3	15:34
125	12	13:03
2	17	13:00
152	2	14:40
62	16	15:04
153	15	14:43
16	7	13:57
19	10	14:47
150	8	15:52
149	1	14:34
152	6	16:45
150	10	14:50
41	3	15:44
46	17	13:38
160	17	13:27
144	13	12:45
55	1	14:05
44	18	16:04
6	16	15:56
96	19	14:58
93	7	12:42
112	19	15:15
106	2	14:39
165	2	15:07
86	5	13:02
112	16	16:22
16	5	13:05
76	15	15:00
20	13	12:57
71	8	15:51
67	6	16:27
77	18	16:29
94	12	13:31
132	13	12:36
67	15	14:00
54	8	15:28
186	17	13:04
172	2	15:47
60	5	13:43
34	6	17:15
178	1	14:58
16	11	16:10
81	4	13:29
65	19	15:26
119	19	14:36
176	2	14:43
142	6	16:54
61	19	15:42
96	3	15:10
108	19	15:09
166	18	16:40
11	17	13:03
3	16	15:30
123	16	15:09
6	9	16:01
47	6	17:16
188	16	15:11
39	1	14:28
38	11	16:22
94	5	13:23
163	8	15:39
68	14	13:06
29	14	13:06
97	18	16:16
98	4	12:53
38	14	12:52
174	10	14:47
57	5	13:29
161	2	14:33
52	9	16:28
134	1	14:32
21	19	14:32
97	12	13:12
178	14	13:58
49	13	13:18
175	6	16:34
139	10	15:16
90	2	15:28
8	17	13:39
42	19	14:33
142	15	14:18
27	2	15:52
52	5	12:31
83	17	13:24
55	14	12:52
149	10	15:34
145	8	15:24
112	5	13:26
114	7	13:01
108	13	12:40
109	15	14:55
161	7	13:14
104	5	13:19
66	8	16:21
138	2	15:35
20	8	15:31
130	7	12:47
184	14	13:58
54	3	15:12
190	19	15:14
2	16	15:41
38	6	16:18
174	11	17:09
123	11	16:06
134	17	13:58
25	4	13:27
168	5	13:11
154	16	15:52
113	2	15:11
121	12	13:16
48	18	16:21
172	1	14:03
71	3	15:00
43	17	14:14
123	3	15:17
125	17	13:48
84	13	13:26
120	1	14:54
33	1	14:12
15	7	12:36
111	8	15:36
161	14	12:57
16	6	16:17
172	9	16:53
105	14	13:28
31	7	12:38
169	17	13:11
59	10	14:58
64	4	13:32
81	14	12:58
87	9	16:34
134	13	12:43
114	15	14:43
136	4	12:47
29	9	16:15
55	17	13:33
33	12	13:18
12	3	15:59
50	6	16:09
33	5	12:47
159	4	12:40
152	5	12:34
137	12	13:00
89	11	17:12
175	11	16:57
71	5	12:56
47	14	13:27
95	11	17:18
64	15	14:53
135	19	14:51
110	9	16:52
80	18	16:19
187	9	16:52
35	4	13:54
152	16	15:13
21	3	15:17
179	4	13:20
90	16	15:16
125	10	15:05
4	5	13:21
74	10	15:14
33	11	16:24
174	12	14:05
75	8	15:39
14	16	15:16
176	18	16:14
119	6	16:59
131	2	15:08
79	18	17:23
119	7	12:58
28	19	14:42
81	15	14:42
152	7	13:09
188	18	16:54
38	4	12:44
167	5	13:03
99	17	13:52
5	4	12:38
153	5	12:50
110	14	12:31
96	16	15:08
7	19	15:22
85	13	12:45
152	10	15:29
9	8	15:14
57	16	15:03
5	11	16:04
133	9	16:08
154	2	14:45
92	10	14:43
120	5	13:03
175	17	13:49
68	3	15:04
83	7	13:07
86	10	14:54
78	17	13:38
77	16	15:42
95	15	14:33
160	6	16:45
27	11	16:36
42	15	14:19
55	3	15:46
23	6	16:35
56	10	15:28
169	6	16:08
69	1	14:57
187	4	12:41
107	16	15:48
12	2	14:37
174	8	15:46
127	10	15:08
47	3	15:27
150	6	16:43
135	13	12:43
71	4	12:41
156	18	16:18
140	6	16:43
107	19	15:55
76	18	17:15
68	10	14:45
133	4	12:53
8	16	15:15
21	10	14:56
133	14	12:40
53	4	12:40
28	11	16:21
39	14	13:49
6	17	13:15
131	18	16:49
154	15	14:40
19	17	13:00
146	13	12:33
81	18	16:05
64	17	13:35
142	2	14:58
101	2	15:19
4	19	14:48
108	4	13:19
89	16	15:29
23	9	16:00
111	17	13:39
122	12	13:50
100	8	15:54
40	3	15:37
99	1	14:19
54	5	13:00
168	16	15:11
147	16	16:03
63	13	12:57
171	2	15:30
64	10	15:05
135	4	13:11
133	3	16:22
45	15	15:00
138	17	14:10
151	16	15:25
2	19	15:15
137	11	16:49
1	14	13:46
126	12	13:55
173	6	16:02
79	12	14:19
76	3	15:49
173	12	13:24
114	5	13:01
22	10	15:08
171	18	16:08
7	2	15:07
107	4	13:30
166	17	14:16
102	15	14:28
49	17	13:57
36	2	14:36
149	15	14:24
127	5	13:19
112	15	15:13
29	10	14:45
165	13	13:29
109	7	13:14
172	14	13:14
160	13	12:57
159	19	14:53
167	17	13:34
119	18	16:51
124	17	13:01
86	7	12:53
111	14	13:10
164	14	12:47
65	2	15:15
155	10	15:05
118	12	13:23
140	4	12:53
31	11	16:58
88	12	14:18
118	8	15:51
129	1	14:51
130	6	17:11
60	1	14:26
91	16	15:13
1	19	15:07
124	11	17:00
22	1	14:59
129	12	13:52
36	1	15:22
167	6	17:00
127	17	13:21
150	12	13:26
8	13	13:00
112	9	16:15
175	7	13:27
108	15	15:00
142	1	14:32
129	3	15:10
139	2	15:45
139	18	16:35
169	16	15:17
89	18	16:36
131	14	12:40
159	5	13:16
107	8	15:39
152	4	12:36
127	11	16:05
135	1	14:47
105	6	16:25
14	12	13:47
93	18	16:01
177	18	16:10
31	12	13:16
187	14	12:52
70	19	14:55
50	3	15:18
144	15	14:52
42	16	15:13
155	3	15:30
148	5	12:49
60	17	13:03
16	19	15:13
78	19	15:13
29	18	16:06
48	7	13:22
3	7	12:31
180	13	12:34
113	6	16:49
19	11	17:13
163	2	14:51
13	6	16:25
28	1	14:19
56	12	14:09
179	12	13:32
184	9	16:42
165	4	12:42
89	6	16:41
39	19	14:30
122	9	16:08
161	5	12:48
61	1	14:10
26	4	13:28
104	18	16:19
157	9	16:39
4	4	12:45
