id	title	original	theatre	pyear	acts	scenes
39	Az erdészleány 	Förster Christl	Városligeti Színkör	1909	3	
40	Marica grófnő 	Grafin Mariza	Király Színház	1924	3	
41	Csodahajó			1937		
42	Vondergold kisassszony		Városi Színház	1917	3	
43	Ballag már a vén diák		Óbudai Kisfaludy Színház	1929	3	
44	Sárgarigófészek		Erzsébetvárosi Színház	1940	3	
45	Viki		Magyar Színház	1935	3	
46	Nem leszek hálátlan		Andrássy-úti Színház	1938	3	
47	Kék Duna		Király Színház	1933	3	
48	Katica		Óbudai Kisfaludy Színház	1930	3	
49	Fehérvári huszárok		Budai Nyári Színkör	1933	3	6
50	Mézeskalács		Király Színház	1923	3	
51	Az ártatlan özvegy		Városi Színház	1925	3	
52	Szabad a csók		Városi Színház	1934	3	
53	Tisztelt ház			1934		
54	Bál a Savoyban		Magyar Színház	1933	3	
55	Miámi		Fővárosi Operettszínház	1925	3	
56	Rigó Jancsi		Fővárosi Operettszínház	1947	3	
57	Kávéházi Konrád		Budai Nyári Színkör	1915	3	
58	3:1 a szerelem javára		Royal Színház	1936	2	
59	Egy férj, két feleség		Budai Nyári Színkör	1917	3	
60	Mézeshetek		Népszínház	1901	3	
61	Éjféli tangó		Király Színház	1932	3	7
62	Donna Anna			1920		
63	A rátartós királykisasszony			1904	3	
64	Ma éjjel szabad vagyok		Andrássy-úti Színház	1934	3	
65	Fiatalság-bolondság		Fővárosi Operettszínház	1940	3	
66	Egy görbe éjszaka		Budai Nyári Színkör	1934	3	
67	A harang		Király Színház	1907	3	
68	A csodavászon		Népopera	1913	3	
69	Mesebeszéd		Vígszínház	1944	3	
70	Külteleki hercegnő		Népszínház	1905	3	
71	Vilmos huszárok		Király Színház	1914	3	
72	Pista!		Óbudai Kisfaludy Színház	1921	3	
73	Mesék az írógépről		Városi Színház	1927	3	
74	Májusi muzsika		Renaissance Színház	1925	3	
75	A portugál		Magyar Színház	1905	3	
76	A granadai vőlegény		Népszínház	1905	3	
77	Árvácska		Budai Színkör	1924	3	
78	Zöld bárány		Magyar Színház	1931	3	8
79	Kis alamuszi		Népszínház	1894	3	
80	Gyurkovics fiúk		Városi Színház	1928	4	6
81	Szökik az asszony		Budai Nyári Színkör	1929	3	
82	A csókszanatórium		Király Színház	1912	3	
83	Diákszerelem		Óbudai Kisfaludy Színház	1927	3	
84	A csúnya lány		Fővárosi Művész Színház	1930	3	4
85	Fanny		Magyar Királyi Operaház	1927	4	
86	Csicsónénak három lánya		Fővárosi Operettszínház	1946	3	
87	Huszárkisasszony		Népszínház	1903	3	
88	A mosoly országa		Magyar Királyi Operaház	1930	3	
89	Szakítani nehéz dolog		Magyar Színház	1936	3	
90	Az utolsó verebély lány		Fővárosi Operettszínház	1928	3	
91	Bolond Istók		Városi Színház	1922	3	
92	Senki		Népszínház	1903		
93	Ki a Tisza vizét issza		Óbudai Kisfaludy Színház	1926	3	
94	Katicabogár		Blaha Lujza Színház	1924	3	
95	Repülj fecském		Király Színház	1927	3	
96	Kitty és Kató		Király Színház	1926	3	
97	Gyergyói bál		Magyar Színház	1941	3	
98	A dorozsmai szélmalom		Budai Nyári Színkör	1934	3	5
99	Csókkirály			1898	3	
100	Csikágói Hercegnő 	Die Herzogin von Chicago	Király Színház	1928	3	
101	Az okos mama		Király Színház	1930	3	
102	Fehér orchideák		Óbudai Kisfaludy Színház	1931	3	
103	Erzsébet		Magyar Színház	1939	3	
104	Bál a pusztán		Óbudai Kisfaludy Színház	1929	3	
105	A kis gróf		Király Színház	1911	3	
106	Jánoska		Király Színház	1909	3	
107	Vőlegényem a gazember		Budai Nyári Színkör	1932	3	6
108	A bajadér		Király Színház	1922	3	
109	Menyasszonyháború		Városi Színház	1923	3	
110	A fekete lány		Városi Színház	1932	3	
111	Blaháné		Budapesti Színház	1926	3	
112	A sárga dominó		Népszínház	1907	3	
113	A nótás kapitány		Fővárosi Operettszínház	1924	3	
114	Zsuzsi kisasszony		Vígszínház	1915	3	
115	A tangókirálynő 	Die Tangokönigin	Budai Nyári Színkör	1923		
116	A cárevics 	Der Zarewitsch	Városi Színház	1928	3	
117	Nyitott ablak		Fővárosi Operettszínház	1932	3	
118	Mintha álom volna		Budai Nyári Színkör	1923	3	
119	Meseáruház		Vígszínház/Fővárosi Operettszínház	1936	3	
120	Antoinette		Művész Színház	1937	3	
121	Egy vidám éjszaka		Magyar Színház	1937	3	
122	Lavotta szerelme		Városligeti Színkör	1917	3	
123	Cigányszerelem 	Zigeunerliebe	Király Színház	1910	3	
124	A papucs		Pesti Színház	1933	3	
125	Miss Amerika		Fővárosi Operettszínház	1929	3	
126	Huszárfogás		Fővárosi Operettszínház	1930	3	
127	Túl a nagy krivánon		Budai Nyári Színkör	1918	3	
128	Alexandra		Király Színház	1925	3	
129	Csókos regiment		Óbudai Kisfaludy Színház	1931	3	4
130	Aranyfácán			1917		
131	Csöpi			1941		
132	Paganini		Városi Színház	1926	3	
133	Naftalin		Vígszínház	1908	3	
134	A 28-as hordár		Óbudai Kisfaludy Színház	1930	3	
135	Aranymadár		Royal Orfeum	1922	1	
136	Kis primadonna		Pécs		3	
137	A cirkusz csillaga		Vígszínház	1934	3	
138	A kék postakocsi		Várszínház	1923	3	
139	Babatündér		Szatmár		3	
140	Az oroszlánvadász		Népszínház	1897	3	
141	Montmartrei Ibolya 	Das Veilchen von Montmartre	Király Színház	1935	3	
142	Pillangófőhadnagy		Király Színház	1918	3	
143	Hajtóvadászat		Városi Színház	1926	3	
144	A kis boszorkány		Budai Nyári Színkör	1909	3	
145	Ezüstmenyasszony		Royal Színház	1935	3	
146	A bolygó görög		Király Színház	1905	3	
147	A ballerina		Király Színház	1931	3	5
148	Tessék beszállni			1933		
149	Kávé habbal		Royal Színház	1938	3	
150	Music Hall		Fővárosi Operettszínház	1934	3	
151	Pesti család		Király Színház	1929	3	
152	Százszorszép		Városi Színház	1919	3	
153	Az alvó feleség		Budapesti Színház	1926	3	
154	A Rotschildok		Fővárosi Operettszínház	1932	3	
155	Marion		Városi Színház	1940	3	
156	Szép asszony kocsisa		Blaha Lujza Színház	1923	3	
157	Luxemburg grófja 	Der Graf von Luxemburg	Király Színház	1910	3	
158	A cirkuszhercegnő 	Die Zirkusprincessin	Király Színház	1926	3	
159	Frine avagy a szépség diadala		Új Színház	1919	2	
160	Mária főhadnagy		Fővárosi Operettszínház	1942	3	
161	Délibáb		Budai Nyári Színkör	1922	3	
162	Rigó Jancsi hegedűje		Óbudai Kisfaludy Színház	1927	3	
163	Az első tavasz		Budai Nyári Színkör	1930	3	
164	Mulató istenek 	Der Göttergatte	Magyar Színház	1905	2	
165	Régi jó Budapest		Király Színház	1925	3	
166	Liliputi hercegnő		Magyar Színház	1899	3	
167	Őfelsége a mama		Magyar Színház	1944	3	
168	Hajnali csók		Városi Színház	1931	3	
169	A bécsi asszonyok 	Wiener Frauen	Városligeti Színkör	1910		
170	Tommy és társa		Király Színház	1929		5
171	Feketeszem éjszakája		Óbudai Kisfaludy Színház	1929	3	
172	Vadvirág		Andrássy-úti Színház	1934	3	
173	Fehér hattyú		Városi Színház	1938	3	
174	A legkisebbik Horváth lány		Király Színház	1927	3	
175	A szerelem éjszakája		Óbudai Kisfaludy Színház	1927	3	
176	Babavásár		Király Színház	1922	3	
177	Mimi		Royal Színház	1935	3	
178	Fifine		Magyar Színház	1902	3	
179	Hamupipőke		Magyar Királyi Operaház	1912	3	
180	Félórás feleség		Király Színház	1934	3	5
181	Szibill		Király Színház	1914	3	
182	Fityfiritty		Fővárosi Operettszínház	1941	3	
183	A mozikirály 	Filmzauber	Király Színház	1913	3	
184	Miss ismeretlen		Király Színház	1932	3	
185	Hercegkisasszony 	Das Fürstenkind	Magyar Királyi Operaház	1910	3	
186	Asszonykám		Városi Színház	1926	3	
187	Mit susog a fehér akác?		Budai Nyári Színkör	1929	3	
188	Három huszár		Fővárosi Operettszínház	1940	3	
189	Maya		Fővárosi Operettszínház	1931	3	
190	Az aranypók		Andrássy-úti Színház	1927	3	
191	Éva		Király Színház	1912	3	
192	Levendula a szerelem virága		Várszínház	1923	3	
193	Fogadjunk!		Budai Nyári Színkör	1916	3	
194	A két kapitány		Erzsébetvárosi Színház	1943	3	
195	Rózsika lelkem		Budai Nyári Színkör	1920	3	
196	Aki mer, az nyer 		Budai Nyári Színkör	1935	3	7
197	Lehullott a rezgőnyárfa		Budai Nyári Színkör	1930	3	
198	Debrecenbe kéne menni		Budai Nyári Színkör	1920	3	
199	A néma asszony			1918		
200	Eső után köpönyeg		Andrássy-úti Színház	1936	3	
201	Tüskerózsa		Király Színház	1907	3	
202	A meztelen Pest		Budapesti Színház	1925		12
203	Kék mazúr 	Die blaue Mazur	Király Színház	1921	3	
204	Királyfogás			1886	3	
205	Sült galamb		Király Színház	1933	3	
206	Csuda Mihály szerencséje		Magyar Színház	1926	3	
207	Postás Katica		Blaha Lujza Színház	1924	4	
208	Négy a kislány		Budai Nyári Színkör	1916	3	
209	Hollandi menyecske 	Das Hollandweibchen	Király Színház	1921	3	
210	Aranyeső		Népopera	1913	3	
211	Mágnás Miska		Király Színház	1916	3	
212	Enyém az első csók		Andrássy-úti Színház	1928	3	
213	Mátyás király szerelme		Várszínház	1921	3	
214	A papa lánya 		Népszínház	1906	3	
215	Csipetke		Fővárosi Operettszínház	1933	3	
216	Vén diófa		Magyar Színház	1942	3	7
217	Sárga liliom 	Die gelbe Lili	Fővárosi Operettszínház	1934	3	
218	Muskátli hercegnő 	Óh régi szép Tabán!	Óbudai Kisfaludy Színház	1927	3	
219	Marci		Budai Színkör	1916	3	
220	Két Hippolit		Népszínház	1905	3	
221	Don Quijote		Nagyvárad	1909	3	
222	A nóta vége		Budai Nyári Színkör	1925	3	
223	A pesti ucca		Magyar Színház	1900	3	
224	Az ezüst sirály		Városi Színház	1920	3	
225	Dinasztia		Magyar Színház	1938	3	20
226	Lord Piccolo		Budai Nyári Színkör	1911	3	
227	Szép Ilonka		Király Színház	1906	3	
228	Miciszláv		Király Színház	1907	1	
229	A palatinus rózsái				3	6
230	Napfogyatkozás		Népszínház	1900	3	
231	Mese a Grand Hotelben			1936	3	
232	Végre egyedül 	Endlich allein	Király Színház	1915	3	
233	Tubicám		Győr, Kisfaludy Színház	1913	3	
234	A hetedik		Szeged	1909	3	
235	Pintyőke		Budai Nyári Színkör	1924	3	
236	A nőtlen férj			1930		
237	A királynő csókja		Fővárosi Operettszínház	1943	3	
238	Jogot a nőknek		Budapesti Színház	1918	3	
239	Amikor a kislányból nagylány lesz		Budai Nyári Színkör	1932	3	5
240	Egy boldog pesti nyár		Fővárosi Operettszínház	1943	3	
241	A hajdúk hadnagya		Magyar Színház	1904	3	
242	Leányvásár		Király Színház	1911	3	
243	Manolita		Fővárosi Operettszínház	1932	3	
244	Léni néni		Magyar Színház	1914	3	
245	Tatárjárás		Vígszínház	1908	3	
246	Mariora				3	
247	Eltörött a hegedűm		Király Színház	1928	3	
248	A századik menyasszony		Budai Nyári Színkör	1907	3	
249	Három feleség		Népszínház	1908	3	
250	Göre Gábor Budapesten		Király Színház	1907	3	8
251	Van de nincs		Király Színház	1908	3	
252	Katonadolog		Népopera	1913	3	
253	Breton legenda		Andrássy-úti Színház	1922	1	
254	Rébusz báró		Király Színház	1909	3	
255	Az ezüstpille		Vígszínház	1914	3	
256	Balról a harmadik		Royal Orfeum	1928	3	
257	Párizsi divat		Városi Színház	1928	3	
258	Tabáni orgonák		Budai Nyári Színkör	1934	3	5
259	Kleopatra		Magyar Színház	1900	3	
260	Napkelet rózsája				3	
261	Boris király		Király Színház	1904	3	
262	Boronkay lányok		Magyar Színház	1942	3	7
263	A rikkancs		Magyar Színház	1904	3	
264	Hazudik a muzsikaszó		Budai Nyári Színkör	1922	3	
265	Csibészkirály		Király Színház	1907	3	
266	Limonádé ezredes		Király Színház	1912	3	
267	A három grácia		Fővárosi Operettszínház	1923	3	
268	Délibáb hercege		Blaha Lujza Színház	1921	3	
269	Farsang tündére 	Die Faschingsfee	Király Színház	1919	3	
270	Ibusz kisasszony		Budai Nyári Színkör	1932	3	4
271	Fekete Péter		Vígszínház	1943	3	
272	A csillagok bolondja 	Der Sterngucker	Népopera	1916	3	
273	Karikagyűrű		Király Színház	1915	3	
274	Grand Café		Fővárosi Operettszínház	1935	3	
275	Sztrájkol a gólya		Vígszínház	1913	3	
276	A gárdista		Városi Színház	1923	3	
277	Zenebona		Fővárosi Operettszínház	1928	3	
278	Menyecskék		Népszínház	1903	3	
279	Férjhez ment a feleségem		Eskü Téri Színház	1921	3	
280	Cserebogár, sárga cserebogár		Óbudai Kisfaludy Színház	1931	3	
281	Délibáb		Szeged	1911	3	
282	Erdélyi diákok		Budai Nyári Színkör	1929		
283	Lili bárónő		Városi Színház	1919	2	
284	Az idegen menyasszony		Budai Nyári Színkör	1922	3	
285	A bús özvegy		Városligeti Színkör	1907	3	
286	Budapest szépe		Budai Nyári Színkör	1901		6
287	Éva grófnő		Király Színház	1928	3	
288	Niobe		Népszínház	1902	3	
289	Gyönyvirág kisasszony		Budai Nyári Színkör	1915	3	
290	Kis kofa		Magyar Színház	1903	3	
291	Mókaházasság		Népszínház	1906	3	
292	Lila test, sárga sapka		Nyári Operettszínház	1930	3	6
293	A csavargólány			1936		
294	Katalin		Budai Nyári Színkör	1902	3	
295	Hajrá Hollywood!		Király Színház	1931	3	
296	Tengerész Kató		Népopera	1912	3	
297	Weekend		Budai Nyári Színkör	1932	3	7
298	A csókos asszony		Városi Színház	1926	3	
299	Kiss és kis		Városi Színház	1927	3	
300	Kutyuskám		Andrássy-úti Színház	1919	1	
301	Amerika lánya		Városi Színház	1924	3	
302	Hawai rózsája		Király Színház	1932	3	
303	Viktória		Király Színház	1930	3	5
304	Csak tréfa		Magyar Színház	1904	3	
305	Lengyel legionárius			1898		
306	Én és a kisöcsém		Fővárosi Operettszínház	1934	3	
307	Casanova		Népszínház	1902	3	
308	Ördöglovas 	Der Feufelsreiter	Király Színház	1934	3	
309	Muzsikus Ferkó		Budai Nyári Színkör	1926	3	
310	Vannak még férfiak		Markus Park Színház	1945	3	
311	Júlia		Városi Színház	1937	3	
312	Csókprofesszor		Magyar Színház	1931	3	5
313	A harapós férj		Fővárosi Operettszínház	1931	3	
314	Berger Zsiga		Városligeti Színkör	1907	3	
315	A császárnő apródja		Király Színház	1925	3	
316	Három a tánc		Király Színház	1922	3	
317	Krizantém		Városi Színház	1924	3	
318	Poldi		Király Színház	1930	3	4
319	Kék orgonák		Belvárosi Színház	1918	1	
320	Cs.Sz.K. 	Csalódott Szerelmesek Klubja	Budai Nyári Színkör	1931	3	5
321	Szeressen kedves!		Fővárosi Operettszínház	1934	3	
322	Tündérszerelem		Népszínház	1907	3	
323	A hölgy hozzám tartozik		Andrássy-úti Színház	1938	3	
324	A múmia		Magyar Színház	1904	3	
325	A fenséges asszony 	Eine Frau von Format			3	
326	A csikósbárónő				3	
327	Cigánykirály		Városi Színház	1927	3	
328	Zimberi-zombori szépasszony		Erzsébetvárosi Színház	1939	3	
329	Pacsirta		Király Színház	1918	3	
330	Szép a világ 	Schön ist die Welt			3	
331	A szegény ördög		Király Színház	1934	3	
332	A fekete huszár		Blaha Lujza Színház	1924	3	
333	Cigányprímás 	Der Zigeunerprimas	Király Színház	1913	3	
334	Hulló falevél		Városi Színház	1936	3	
335	Tánc a boldogságért		Budai Nyári Színkör	1933	3	
336	Kis császár		Népszínház	1904	3	
337	A hárem		Fővárosi Operettszínház	1931	3	
338	Jobb, mint otthon		Nyári Operettszínház	1930	3	
339	Dorottya		Szeged	1929	3	
340	Tiszavirág		Király Színház	1915	3	
341	XIV-ik René		Vígszínház	1940	3	
342	Gül baba		Király Színház	1905	3	
343	János vitéz		Király Színház	1904		
344	Halványsárga rózsa		Városi Színház	1930	3	
345	Tokaji aszu		Magyar Színház	1940	3	
346	Táncos huszárok		Király Színház	1909	3	
347	Tábornokné		Magyar Színház	1943	3	9
348	Katinka grófnő		Népszínház	1904	3	
349	Szupécsárdás		Városi Színház	1929	3	
350	Bob herceg		Népszínház	1902	3	
351	A régi nyár		Budai Nyári Színkör	1928	3	7
352	A szerelmes királynő 	Die verliebte Königin			3	
353	Asszonyok bolondja		Budai Nyári Színkör	1923	3	
354	Falusi kislány Pesten		Óbudai Kisfaludy Színház	1929	3	9
355	Történnek még csodák		Magyar Színház	1935	3	
356	Az obsitos		Vígszínház	1910	3	
357	Csárdáskirálynő 	Die Csardasfürstin	Király Színház	1916	3	
358	Szépségkirálynő		Király Színház	1935	3	
359	Borcsa Amerikában		Óbudai Kisfaludy Színház	1927	3	6
360	Tessék kiszállni			1933		
361	Szultán		Népszínház	1892	3	
362	Magyar rapszódia		Óbudai Kisfaludy Színház	1929		4
363	Elssler Fanny		Király Színház	1923	3	
364	Sportlovagok		Fővárosi Nyári Színház	1905	3	
365	Őfelsége frakkja		Király Színház	1931	3	
366	A gróf úr		Újpest	1924	3	
367	A hamburgi menyasszony		Városi Színház	1922	3	
368	A drótostót 	Der Rastelbinder	Magyar Színház	1903	2	
369	Iglódi diákok		Kolozsvár	1907	3	
370	A kék lámpás		Király Színház	1933	3	3
371	Annabál		Király Színház	1925	3	
372	Leány a talpán		Royal Színház	1942	3	
373	Mexikói leány		Király Színház	1912	3	
374	Vedd le a kalapod a honvéd előtt			1942		
375	Aranyvirág		Király Színház	1903	3	
376	Sárgapitykés közlegény			1937		
377	A falusi madonna		Király Színház	1907	3	
378	A sárga kabát 	Die gelbe Jacke	Király Színház	1923	3	
379	Mary Ann		Király Színház	1908	3	
380	Cigánygrófné		Király Színház	1920	3	
381	A királyné rózsája		Király Színház	1926	3	
382	Egy csók és más semmi		Magyar Színház	1933	3	
383	Alvinici huszárok		Király Színház	1930	3	5
384	Sisters		Belvárosi Színház	1929	3	9
385	A ferencvárosi angyal		Royal Orfeum	1911	3	
386	Tilos a csók		Király Színház	1909	3	
387	Joséphine császárné 	Kaiserin Joséphine	Városi Színház	1937	3	
388	A kislány		Revüszínház	1920	3	
389	Pusztai szerenád		Fővárosi Operettszínház	1939	3	
390	A sziámi herceg		Budai Nyári Színkör	1910	3	
391	A kék álarc		Budai Nyári Színkör	1923	3	
392	Az ördög nem alszik		Magyar Színház	1940	3	
393	Amit a lányok akarnak		Király Színház	1932	2	11
394	Csókos asszony 	Clary-Clara	Eskü Téri Színház	1921	3	
395	Masinka		Népszínház	1903	3	
396	Virágcsata		Népszínház	1894	3	
397	A tánckirály		Budai Nyári Színkör	1921	3	
398	Offenbach		Király Színház	1920	3	
399	A legvitézebb huszár		Magyar Színház	1905	3	
400	Mesebeli herceg		Budai Nyári Színkör	1924	3	
401	Pesti nők 	Wiener Damen	Budai Nyári Színkör	1903	3	
402	Csárdás		Budai Nyári Színkör	1936	3	10
403	A bakter		Kolozsvár	1904	1	
404	Fecskék		Király Színház	1904	3	
405	Az aranyhalacska		Nagyvárad	1909	3	
406	Aranyhattyú		Király Színház	1927	3	
407	A bajusz		Magyar Színház	1903	3	
408	Doktorkisasszonyok		Magyar Színház	1903	3	
409	Egyiptom gyöngye		Magyar Színház	1899	3	
410	Rézi		Népszínház	1904	3	
411	Angóramacska		Vígszínház	1940	3	
412	Gróf Rinaldo		Király Színház	1918	3	
