workid	ctype	creatorid
90	libretto	118
2	libretto	141
303	music	2
312	libretto	218
374	libretto	47
238	music	232
6	libretto	81
92	libretto	92
281	music	13
352	translation	47
302	libretto	170
23	music	165
77	libretto	261
347	libretto	183
172	libretto	121
149	libretto	118
78	libretto	114
315	libretto	118
240	music	48
239	music	247
246	music	199
302	libretto	140
168	libretto	81
327	libretto	159
324	libretto	175
220	music	176
277	libretto	193
216	music	82
192	libretto	106
345	music	48
165	music	37
370	libretto	106
378	music	211
403	libretto	47
358	music	58
99	music	60
159	music	197
120	libretto	240
274	libretto	181
276	libretto	245
204	libretto	134
405	libretto	189
112	libretto	145
302	translation	76
102	libretto	47
80	libretto	81
160	libretto	106
63	libretto	235
272	libretto	170
142	libretto	160
294	libretto	54
217	music	45
390	music	60
306	libretto	106
393	libretto	81
330	libretto	73
405	translation	145
34	libretto	106
164	music	211
231	music	2
63	music	187
283	libretto	156
79	music	165
305	music	60
48	music	168
316	music	258
273	music	60
22	translation	245
369	music	81
5	libretto	47
250	libretto	153
34	music	48
244	libretto	7
330	libretto	170
154	libretto	196
361	libretto	153
346	music	69
180	libretto	78
172	libretto	118
310	libretto	258
18	libretto	4
174	music	164
19	music	39
7	libretto	59
365	music	247
259	libretto	153
381	music	81
302	music	2
52	libretto	44
9	libretto	19
307	music	232
88	libretto	73
27	music	177
54	translation	7
289	music	99
244	music	210
408	libretto	153
101	libretto	52
314	music	232
387	music	39
83	music	154
295	libretto	33
203	libretto	61
149	libretto	202
116	libretto	4
308	translation	56
346	libretto	55
108	translation	245
228	libretto	71
12	music	48
59	music	13
227	libretto	184
335	music	247
398	libretto	249
401	music	211
330	translation	47
82	libretto	119
45	libretto	221
312	music	83
353	music	247
303	libretto	118
245	music	39
50	music	69
237	music	82
148	libretto	47
124	libretto	77
372	libretto	122
143	music	192
104	music	220
219	translation	145
328	libretto	44
3	music	57
72	libretto	67
330	music	211
163	libretto	121
267	translation	84
164	translation	7
341	music	48
200	music	45
162	music	195
408	music	153
352	libretto	93
145	libretto	106
339	music	101
60	music	232
30	libretto	81
116	music	211
332	libretto	173
193	libretto	118
281	libretto	68
142	libretto	118
372	music	48
10	libretto	81
141	libretto	125
269	libretto	266
61	libretto	196
169	music	211
49	libretto	44
189	music	82
158	music	39
58	libretto	106
404	libretto	157
272	music	211
111	music	232
71	libretto	186
223	music	153
373	music	69
119	libretto	106
334	music	164
128	music	69
410	libretto	249
215	libretto	72
161	libretto	116
247	music	164
96	libretto	160
166	music	63
311	libretto	118
283	libretto	79
171	music	44
237	libretto	209
341	libretto	75
212	music	69
269	libretto	34
366	libretto	233
325	music	45
136	music	13
36	music	62
284	libretto	130
121	libretto	114
137	music	48
298	music	164
43	music	232
280	music	44
47	libretto	14
231	libretto	140
31	libretto	72
153	libretto	118
21	libretto	179
194	music	44
7	music	247
190	libretto	118
333	libretto	71
81	libretto	186
400	music	264
385	libretto	12
91	music	62
42	libretto	84
410	music	232
248	libretto	145
268	music	111
101	music	247
232	music	211
288	music	90
407	libretto	153
175	music	154
344	libretto	56
191	libretto	266
25	libretto	81
73	libretto	196
156	libretto	55
12	libretto	243
123	translation	36
275	music	50
72	libretto	184
171	libretto	44
290	libretto	257
118	libretto	44
93	music	154
365	libretto	196
354	libretto	142
54	music	2
82	libretto	15
59	music	85
66	music	132
137	libretto	261
325	libretto	9
379	music	101
291	music	211
336	libretto	157
334	libretto	121
361	music	153
341	libretto	84
389	libretto	106
209	libretto	113
39	music	35
126	music	210
407	music	153
68	libretto	249
382	music	48
99	libretto	133
120	music	258
318	music	81
258	libretto	139
38	libretto	44
282	libretto	162
100	music	39
234	music	13
208	music	232
160	music	192
13	libretto	66
138	music	154
265	libretto	244
123	libretto	80
162	music	127
23	libretto	47
263	libretto	145
44	libretto	44
254	music	192
67	libretto	157
291	libretto	227
370	music	199
115	libretto	125
233	libretto	47
280	libretto	44
191	music	211
51	libretto	214
172	music	48
374	music	44
65	libretto	243
203	music	211
360	music	168
371	libretto	245
294	music	3
87	libretto	65
208	libretto	184
202	libretto	172
184	music	267
170	music	129
362	libretto	24
67	libretto	101
158	libretto	125
409	libretto	7
243	music	82
158	translation	102
335	libretto	56
378	libretto	150
36	music	10
402	music	154
131	music	168
245	libretto	260
385	libretto	7
409	music	94
46	music	168
1	music	247
28	music	211
86	music	258
362	music	136
298	libretto	106
277	libretto	105
301	libretto	106
334	libretto	163
178	music	228
368	translation	145
285	libretto	249
28	translation	84
40	translation	84
20	music	81
26	music	211
85	libretto	241
387	libretto	265
19	libretto	160
379	libretto	151
386	libretto	157
219	libretto	152
406	libretto	106
364	libretto	225
356	music	39
386	music	210
295	music	30
200	libretto	196
370	libretto	118
351	libretto	196
185	music	211
170	libretto	106
344	music	178
246	libretto	118
179	libretto	36
82	translation	102
239	libretto	196
243	libretto	118
103	libretto	106
363	libretto	249
261	libretto	238
286	libretto	249
217	libretto	115
123	music	211
404	music	57
360	libretto	47
380	music	210
232	translation	84
349	music	81
56	libretto	196
225	music	199
300	libretto	160
412	libretto	260
187	music	6
183	translation	84
264	music	190
210	music	164
150	libretto	104
218	music	195
297	music	178
367	music	210
114	music	39
218	music	127
401	libretto	234
211	music	69
337	libretto	248
213	music	50
38	music	44
359	libretto	72
37	libretto	61
295	libretto	263
226	libretto	205
358	libretto	160
316	libretto	249
137	libretto	258
359	libretto	179
293	music	44
123	libretto	266
173	libretto	118
148	music	168
240	libretto	209
115	music	211
15	music	153
304	music	153
130	music	164
130	libretto	47
154	music	247
308	music	39
29	libretto	106
127	libretto	81
129	libretto	44
182	libretto	222
176	libretto	186
278	libretto	153
151	libretto	106
214	libretto	112
139	music	13
194	libretto	44
351	music	247
232	libretto	80
162	libretto	142
318	libretto	81
218	libretto	142
320	music	37
311	music	2
354	music	232
141	translation	56
124	translation	201
129	music	44
272	translation	47
29	music	48
147	libretto	160
29	libretto	163
350	libretto	260
177	libretto	120
47	music	16
66	music	41
306	music	48
18	translation	84
206	libretto	261
105	music	143
333	translation	84
284	music	180
77	music	164
95	music	81
382	libretto	18
331	music	258
37	libretto	150
40	music	39
292	libretto	31
389	music	82
176	music	197
270	music	89
263	libretto	96
357	libretto	113
315	libretto	249
308	libretto	161
377	music	153
274	music	258
316	libretto	213
181	music	187
177	libretto	251
85	music	62
161	libretto	142
21	music	197
8	music	165
33	music	168
118	music	232
279	libretto	74
41	music	168
49	music	44
342	music	192
355	music	2
399	libretto	160
353	libretto	193
227	libretto	38
12	libretto	14
368	libretto	150
343	libretto	260
97	music	192
51	music	247
132	libretto	113
56	music	82
83	libretto	162
296	music	35
108	libretto	125
273	libretto	159
265	music	177
221	libretto	198
187	libretto	44
296	libretto	204
196	libretto	25
231	translation	47
62	music	197
157	translation	36
86	libretto	163
358	libretto	56
117	music	81
141	music	39
176	libretto	245
142	music	258
329	music	211
219	music	168
368	music	211
25	music	81
235	libretto	212
135	music	164
386	libretto	74
236	music	168
292	libretto	196
120	libretto	216
116	translation	47
340	libretto	193
7	libretto	196
349	libretto	81
230	music	165
40	libretto	125
376	music	44
60	libretto	230
269	music	39
93	libretto	118
57	music	232
146	libretto	157
147	music	69
321	music	258
299	libretto	261
44	music	44
205	music	247
163	music	199
122	libretto	184
270	libretto	242
242	libretto	74
168	music	81
271	music	48
137	libretto	196
326	music	35
58	libretto	163
214	music	60
92	libretto	203
64	libretto	114
364	music	62
397	music	197
352	libretto	140
174	libretto	106
141	libretto	140
175	libretto	207
260	music	44
340	libretto	223
399	music	187
402	libretto	106
406	music	210
394	libretto	47
299	music	210
16	libretto	47
324	music	62
279	music	168
6	music	81
149	music	48
201	music	187
76	libretto	160
5	music	177
331	libretto	72
250	music	210
383	music	48
212	libretto	7
267	libretto	266
282	music	154
247	libretto	106
15	libretto	153
305	libretto	47
132	libretto	265
287	libretto	160
13	music	35
375	music	192
371	libretto	160
395	music	155
60	libretto	249
249	libretto	227
114	libretto	160
275	libretto	32
266	music	210
196	music	178
166	libretto	206
155	libretto	91
323	libretto	87
283	libretto	160
335	libretto	221
269	translation	47
134	music	164
179	libretto	260
291	translation	262
94	libretto	142
45	music	2
190	music	210
234	libretto	8
242	libretto	160
178	libretto	228
257	music	247
282	libretto	121
31	music	258
286	music	232
18	music	211
228	music	211
276	music	210
160	libretto	163
78	music	147
109	libretto	230
285	music	232
42	music	143
240	libretto	106
238	libretto	253
357	translation	36
287	music	69
363	music	197
224	music	177
312	libretto	240
110	libretto	47
274	libretto	72
197	libretto	44
107	music	137
1	libretto	249
72	music	98
322	music	192
261	music	63
203	libretto	113
297	libretto	52
98	music	44
31	libretto	118
395	libretto	17
159	libretto	179
103	music	192
32	music	164
96	music	143
221	music	148
394	music	164
299	libretto	245
342	libretto	160
213	libretto	128
376	libretto	47
26	translation	84
279	libretto	193
185	libretto	150
217	libretto	75
183	libretto	138
182	music	154
124	music	45
136	libretto	256
40	libretto	140
401	translation	145
84	libretto	59
157	libretto	266
83	libretto	121
169	libretto	255
14	music	164
133	music	69
19	libretto	260
320	libretto	240
195	libretto	81
67	music	177
309	music	164
189	libretto	118
158	translation	245
199	libretto	47
33	libretto	47
256	music	164
255	translation	36
57	libretto	97
138	libretto	106
145	music	48
68	music	232
251	music	187
150	libretto	20
102	music	64
113	music	81
181	libretto	74
112	music	69
157	libretto	80
183	music	69
158	libretto	140
350	music	192
383	libretto	106
131	libretto	47
290	music	60
106	libretto	160
188	music	154
108	libretto	140
98	libretto	44
262	music	158
201	libretto	160
4	music	62
222	libretto	261
48	libretto	160
47	libretto	64
377	libretto	153
92	music	232
109	music	62
350	libretto	160
200	libretto	216
57	libretto	249
208	libretto	11
236	libretto	47
43	libretto	142
54	libretto	140
139	libretto	167
326	libretto	47
13	translation	145
108	music	39
51	libretto	191
255	libretto	135
366	music	13
203	translation	75
100	libretto	125
388	libretto	84
74	libretto	84
63	translation	47
226	libretto	146
151	libretto	87
51	translation	118
355	libretto	196
22	libretto	113
35	libretto	260
153	libretto	172
195	music	81
87	music	65
58	music	2
113	libretto	81
322	libretto	160
348	libretto	249
411	music	48
173	music	2
52	music	44
325	libretto	161
30	music	81
115	libretto	140
411	libretto	106
210	libretto	54
313	libretto	72
246	libretto	261
89	libretto	216
100	translation	87
319	music	69
338	libretto	87
327	music	16
267	music	211
91	libretto	230
125	music	48
338	music	210
209	translation	245
368	translation	188
215	music	82
312	libretto	216
206	music	164
390	libretto	185
391	music	237
2	libretto	7
114	libretto	74
226	music	27
345	libretto	106
32	libretto	118
157	music	211
64	music	48
82	music	129
45	libretto	118
356	libretto	260
64	libretto	56
17	music	164
225	libretto	28
216	libretto	106
184	libretto	64
169	translation	47
384	libretto	196
242	music	187
202	music	37
155	translation	209
55	libretto	223
104	libretto	220
152	music	164
167	music	48
333	music	39
27	libretto	74
391	libretto	213
291	translation	236
323	music	48
337	music	82
121	music	48
61	libretto	59
397	libretto	184
8	libretto	47
17	libretto	72
388	music	50
367	libretto	245
332	music	43
35	music	192
134	libretto	47
133	libretto	7
91	libretto	182
89	libretto	229
310	music	258
132	music	211
198	music	81
183	libretto	124
81	music	199
256	libretto	123
151	music	37
26	libretto	125
393	music	81
263	music	166
328	music	44
186	libretto	107
